response	response_time	trial_ISI	trial_shape
None	0	2500	red_star
None	0	1000	red_star
None	0	2000	yellow_square
None	0	1000	red_triangle
None	0	2000	yellow_triangle
None	0	2500	yellow_star
None	0	2500	red_circle
space	460	2500	red_square
None	0	1500	blue_square
None	0	2500	green_star
None	0	1000	yellow_square
None	0	2000	green_triangle
None	0	2000	yellow_circle
None	0	2500	blue_square
None	0	1000	green_triangle
None	0	2500	blue_square
None	0	2500	blue_star
None	0	2500	blue_square
None	0	1000	blue_circle
space	476	2500	red_square
None	0	1500	yellow_circle
None	0	2000	yellow_star
None	0	2000	green_circle
space	435	1000	red_square
None	0	1500	blue_star
None	0	1500	blue_square
None	0	1500	green_square
None	0	1000	red_star
None	0	2000	yellow_star
None	0	2000	blue_star
None	0	2500	yellow_triangle
None	0	1000	blue_circle
None	0	2000	green_square
None	0	2500	yellow_square
space	414	1000	red_square
None	0	1000	green_square
space	455	1500	red_square
None	0	1500	yellow_square
None	0	2500	yellow_circle
space	489	2500	red_square
None	0	2500	blue_star
None	0	2000	blue_triangle
None	0	2500	yellow_square
None	0	2500	blue_circle
None	0	2000	green_triangle
None	0	1000	red_circle
space	444	2500	red_square
None	0	1500	green_triangle
None	0	1000	green_star
None	0	2500	yellow_square
space	511	2500	red_square
None	0	2500	red_star
None	0	2000	red_star
space	420	1000	red_square
None	0	1500	blue_square
space	473	2000	red_square
space	544	1500	red_square
space	443	2500	red_square
None	0	1500	yellow_triangle
None	0	1000	yellow_circle
space	495	2000	red_square
space	478	1500	red_square
None	0	2500	red_star
None	0	2000	yellow_star
space	549	1000	red_square
space	449	2000	red_square
None	0	2000	green_circle
space	437	1000	red_square
space	482	2500	red_square
space	445	2000	red_square
None	0	2500	red_triangle
None	0	1000	blue_circle
None	0	1500	yellow_circle
None	0	2500	yellow_star
None	0	2000	green_square
space	489	1500	red_square
space	508	1000	red_square
space	454	1500	red_square
None	0	1000	blue_triangle
None	0	1000	red_star
space	444	2500	red_square
None	0	1500	green_circle
None	0	2000	yellow_triangle
space	514	1500	red_square
None	0	2000	red_circle
space	459	1000	red_square
None	0	1500	yellow_star
space	433	1000	red_square
None	0	2000	blue_square
space	463	2500	red_square
space	430	1000	red_square
None	0	1500	red_circle
None	0	1500	red_triangle
space	515	2000	red_square
None	0	1500	yellow_square
None	0	1500	blue_triangle
space	583	2500	red_square
None	0	1000	green_circle
None	0	2000	green_triangle
None	0	2000	blue_triangle
None	0	1500	blue_star
None	0	2000	red_triangle
None	0	1000	green_star
None	0	2000	red_star
None	0	2000	green_square
space	534	1000	red_square
None	0	1000	blue_circle
None	0	1500	red_square
space	469	1500	red_square
None	0	2500	yellow_star
space	429	2500	red_square
space	425	2500	red_square
None	0	2000	blue_circle
None	0	2000	blue_triangle
None	0	1000	red_circle
