response	response_time	trial_ISI	trial_shape
None	0	2000	green_triangle
None	0	2500	red_circle
None	0	2500	green_square
space	335	1000	red_square
None	0	1000	yellow_triangle
None	0	2500	green_circle
None	0	1500	red_triangle
None	0	2000	green_triangle
None	0	1500	blue_square
None	0	2500	blue_star
None	0	1500	red_star
None	0	2000	green_square
space	345	1000	red_square
None	0	2000	yellow_triangle
None	0	1500	green_star
None	0	2000	blue_triangle
space	397	1500	red_square
space	766	1500	red_square
space	343	2000	red_square
None	0	2000	yellow_triangle
None	0	1500	blue_square
space	368	1500	red_square
space	282	2000	red_square
space	305	2000	red_square
None	0	1000	blue_triangle
None	0	2000	red_circle
None	0	1500	yellow_square
None	0	2500	yellow_triangle
None	0	1000	red_circle
None	0	2500	red_star
None	0	2500	red_triangle
space	378	1500	red_square
space	271	2500	red_square
space	333	1000	red_square
None	0	2500	blue_circle
space	506	1500	red_square
None	0	1000	blue_star
None	0	2500	yellow_circle
None	0	2000	yellow_circle
None	0	1000	blue_triangle
None	0	2500	green_star
None	0	1000	green_star
None	0	1000	yellow_star
None	0	1000	yellow_triangle
None	0	2500	green_square
None	0	1500	blue_triangle
None	0	2000	yellow_circle
None	0	2000	yellow_circle
None	0	1000	blue_circle
None	0	1000	green_square
None	0	2000	yellow_square
None	0	2500	yellow_square
None	0	2000	red_circle
space	421	2500	red_square
None	0	1000	red_circle
None	0	1000	blue_square
None	0	2000	blue_star
space	456	1000	red_square
None	0	1000	yellow_square
space	511	1500	red_square
space	341	2000	red_square
space	308	1000	red_square
space	467	1500	red_square
None	0	1500	blue_star
None	0	1500	green_star
space	372	1000	red_square
None	0	1500	red_star
space	357	1500	red_square
None	0	2000	yellow_star
space	394	2500	red_square
None	0	2500	yellow_square
None	0	2500	green_square
None	0	2500	red_circle
None	0	2500	green_star
space	386	1000	red_square
None	0	2000	yellow_star
None	0	1500	red_triangle
space	379	1000	red_square
None	0	2500	red_star
None	0	1500	red_triangle
space	401	2000	red_square
None	0	2000	green_star
space	352	1500	red_square
None	0	2000	blue_square
None	0	1500	blue_triangle
None	0	2500	red_triangle
None	0	2500	green_square
None	0	2000	yellow_triangle
None	0	1000	blue_circle
space	397	1000	red_square
None	0	2500	blue_square
None	0	2500	blue_circle
space	400	1000	red_square
space	479	2000	red_square
None	0	2500	yellow_circle
None	0	2500	red_circle
None	0	1000	blue_triangle
None	0	1000	green_star
None	0	1000	yellow_square
space	432	2000	red_square
None	0	1500	red_circle
None	0	1500	green_star
space	394	2000	red_square
space	401	1000	red_square
space	537	2500	red_square
None	0	1000	yellow_star
None	0	1000	green_circle
None	0	2500	green_square
None	0	1000	green_circle
space	346	2000	red_square
None	0	2000	green_triangle
None	0	2500	red_circle
None	0	2500	red_circle
None	0	2000	yellow_square
None	0	1500	blue_triangle
space	338	1500	red_square
None	0	1000	red_star
None	0	2000	yellow_triangle
space	422	2500	red_square
None	0	1000	red_star
None	0	2500	green_square
None	0	1000	yellow_square
None	0	1500	green_circle
space	426	2000	red_square
None	0	2500	blue_square
space	500	1500	red_square
space	417	2000	red_square
space	344	1000	red_square
space	336	1500	red_square
None	0	1000	green_triangle
None	0	1000	blue_square
None	0	1000	yellow_square
None	0	2000	red_star
None	0	2500	green_triangle
None	0	2000	blue_star
None	0	1500	green_square
None	0	1000	green_triangle
None	0	1500	green_circle
space	418	2500	red_square
space	336	2500	red_square
None	0	1000	yellow_square
space	373	1000	red_square
None	0	1000	red_triangle
None	0	1500	red_star
None	0	1500	yellow_circle
None	0	2000	yellow_square
None	0	2500	yellow_square
None	0	1000	yellow_triangle
None	0	1000	green_circle
None	0	1500	blue_circle
space	384	1000	red_square
space	295	1500	red_square
None	0	1000	blue_star
None	0	2000	yellow_star
space	420	1000	red_square
space	275	1500	red_square
space	340	1000	red_circle
None	0	2000	green_triangle
None	0	1500	green_star
space	464	1000	red_square
space	392	1000	red_square
None	0	1000	green_square
space	518	1500	red_square
space	420	1500	red_square
None	0	2000	red_triangle
None	0	2500	red_circle
None	0	2500	blue_circle
space	448	1500	red_square
None	0	1000	blue_square
None	0	1500	red_triangle
space	450	2000	red_square
